name;link;character_name;film_id;film_title
Gregory J. Barnett;/actor/gregory-j-barnett/;Security Guard #1;47798;They Live
Jim Nickerson;/actor/jim-nickerson/;Security Guard #2;47798;They Live
Kerry Rossall;/actor/kerry-rossall/;2nd Unit Guard;47798;They Live
Cibby Danyla;/actor/cibby-danyla/;Naked Lady;47798;They Live
Jeff Imada;/actor/jeff-imada/;Male Ghoul;47798;They Live
Michelle Costello;/actor/michelle-costello/;Female Ghoul;47798;They Live
Jeb Stuart Adams;/actor/jeb-stuart-adams/;Homeless kid (uncredited);47798;They Live
Jennifer Austin;/actor/jennifer-austin/;Teenage Girl (uncredited);47798;They Live
Michael Forino;/actor/michael-forino/;Ghoul at Bar (uncredited);47798;They Live
Robert V. Greene;/actor/robert-v-greene/;TV Technician (uncredited);47798;They Live
Helen Kelly;/actor/helen-kelly-1/;Woman at the Dinner Party (uncredited);47798;They Live
Al Leong;/actor/al-leong/;Asian Revolutionary (uncredited);47798;They Live
Gunnar Magg;/actor/gunnar-magg/;Male Ghoulie (uncredited);47798;They Live
Matt McColm;/actor/matt-mccolm/;Police Officer (uncredited);47798;They Live
Tommy Morrison;/actor/tommy-morrison/;Dave - Resistance Fighter (uncredited);47798;They Live
John Carpenter;/actor/john-carpenter/;Voice That Says 'Sleep' (voice) (uncredited);47798;They Live
Sylvester Stallone;/actor/sylvester-stallone/;Marion 'Cobra' Cobretti;46759;Cobra
Brigitte Nielsen;/actor/brigitte-nielsen/;Ingrid;46759;Cobra
Reni Santoni;/actor/reni-santoni/;Sergeant Gonzales;46759;Cobra
Brian Thompson;/actor/brian-thompson-1/;Night Slasher;46759;Cobra
Lee Garlington;/actor/lee-garlington/;Nancy Stalk;46759;Cobra
Art LaFleur;/actor/art-lafleur/;Captain Sears;46759;Cobra
Andrew Robinson;/actor/andrew-robinson-1/;Detective Monte;46759;Cobra
Marco Rodríguez;/actor/marco-rodriguez/;Supermarket Killer;46759;Cobra
Val Avery;/actor/val-avery/;Chief Halliwell;46759;Cobra
Nina Axelrod;/actor/nina-axelrod/;Waitress;46759;Cobra
David Rasche;/actor/david-rasche/;Dan;46759;Cobra
John Herzfeld;/actor/john-herzfeld/;Cho;46759;Cobra
Ross St. Phillip;/actor/ross-st-phillip/;Security Guard;46759;Cobra
