letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;letterboxd_url;imdb_url;tmdb_url;tmdb_id;release_year;duration;avg_rating
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb;https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/;http://www.imdb.com/title/tt0057012/maindetails;https://www.themoviedb.org/movie/935;935;1964;95;4.30
34848;Meshes of the Afternoon;Meshes of the Afternoon (1943);meshes-of-the-afternoon;https://letterboxd.com/film/meshes-of-the-afternoon/;http://www.imdb.com/title/tt0036154/maindetails;https://www.themoviedb.org/movie/27040;27040;1943;14;4.25
51494;The Wizard of Oz;The Wizard of Oz (1939);the-wizard-of-oz-1939;https://letterboxd.com/film/the-wizard-of-oz-1939/;http://www.imdb.com/title/tt0032138/maindetails;https://www.themoviedb.org/movie/630;630;1939;102;3.93
51230;Dawn of the Dead;Dawn of the Dead (1978);dawn-of-the-dead;https://letterboxd.com/film/dawn-of-the-dead/;http://www.imdb.com/title/tt0077402/maindetails;https://www.themoviedb.org/movie/923;923;1978;127;3.95
97190;The Company of Strangers;The Company of Strangers (1990);the-company-of-strangers;https://letterboxd.com/film/the-company-of-strangers/;http://www.imdb.com/title/tt0102993/maindetails;https://www.themoviedb.org/movie/123778;123778;1990;101;4.27
43921;Tokyo Godfathers;Tokyo Godfathers (2003);tokyo-godfathers;https://letterboxd.com/film/tokyo-godfathers/;http://www.imdb.com/title/tt0388473/maindetails;https://www.themoviedb.org/movie/13398;13398;2003;92;4.25
48894;Kiss Kiss Bang Bang;Kiss Kiss Bang Bang (2005);kiss-kiss-bang-bang-2005;https://letterboxd.com/film/kiss-kiss-bang-bang-2005/;http://www.imdb.com/title/tt0373469/maindetails;https://www.themoviedb.org/movie/5236;5236;2005;102;3.74
838140;The Substance;The Substance (2024);the-substance;https://letterboxd.com/film/the-substance/;http://www.imdb.com/title/tt17526714/maindetails;https://www.themoviedb.org/movie/933260;933260;2024;141;3.74
51624;Shaft;Shaft (1971);shaft;https://letterboxd.com/film/shaft/;http://www.imdb.com/title/tt0067741/maindetails;https://www.themoviedb.org/movie/482;482;1971;100;3.47
359505;Nosferatu;Nosferatu (2024);nosferatu-2024;https://letterboxd.com/film/nosferatu-2024/;http://www.imdb.com/title/tt5040012/maindetails;https://www.themoviedb.org/movie/426063;426063;2024;133;3.67
959540;Anora;Anora (2024);anora;https://letterboxd.com/film/anora/;http://www.imdb.com/title/tt28607951/maindetails;https://www.themoviedb.org/movie/1064213;1064213;2024;139;3.80
47555;Eight Legged Freaks;Eight Legged Freaks (2002);eight-legged-freaks;https://letterboxd.com/film/eight-legged-freaks/;http://www.imdb.com/title/tt0271367/maindetails;https://www.themoviedb.org/movie/8869;8869;2002;99;2.60
977172;Companion;Companion (2025);companion-2025;https://letterboxd.com/film/companion-2025/;http://www.imdb.com/title/tt26584495/maindetails;https://www.themoviedb.org/movie/1084199;1084199;2025;97;3.37
739691;Dream Scenario;Dream Scenario (2023);dream-scenario;https://letterboxd.com/film/dream-scenario/;http://www.imdb.com/title/tt21942866/maindetails;https://www.themoviedb.org/movie/823482;823482;2023;102;3.41
47254;The Goonies;The Goonies (1985);the-goonies;https://letterboxd.com/film/the-goonies/;http://www.imdb.com/title/tt0089218/maindetails;https://www.themoviedb.org/movie/9340;9340;1985;114;3.82
31640;At Midnight I'll Take Your Soul;At Midnight I'll Take Your Soul (1964);at-midnight-ill-take-your-soul;https://letterboxd.com/film/at-midnight-ill-take-your-soul/;http://www.imdb.com/title/tt0059440/maindetails;https://www.themoviedb.org/movie/30913;30913;1964;83;3.57
51620;The Seventh Seal;The Seventh Seal (1957);the-seventh-seal;https://letterboxd.com/film/the-seventh-seal/;http://www.imdb.com/title/tt0050976/maindetails;https://www.themoviedb.org/movie/490;490;1957;96;4.33
46762;Ginger Snaps;Ginger Snaps (2000);ginger-snaps;https://letterboxd.com/film/ginger-snaps/;http://www.imdb.com/title/tt0210070/maindetails;https://www.themoviedb.org/movie/9871;9871;2000;108;3.65
44012;Death Race 2000;Death Race 2000 (1975);death-race-2000;https://letterboxd.com/film/death-race-2000/;http://www.imdb.com/title/tt0072856/maindetails;https://www.themoviedb.org/movie/13282;13282;1975;80;3.27
