film_id;film_title;value
474474;Everything Everywhere All at Once;Adventure
474474;Everything Everywhere All at Once;Comedy
474474;Everything Everywhere All at Once;Action
474474;Everything Everywhere All at Once;Humanity and the world around us
474474;Everything Everywhere All at Once;Moving relationship stories
474474;Everything Everywhere All at Once;Crude humor and satire
474474;Everything Everywhere All at Once;Epic heroes
474474;Everything Everywhere All at Once;Surreal and thought-provoking visions of life and death
474474;Everything Everywhere All at Once;Touching and sentimental family stories
474474;Everything Everywhere All at Once;Powerful stories of heartbreak and suffering
474474;Everything Everywhere All at Once;Quirky and endearing relationships
474474;Everything Everywhere All at Once;Dreamlike, quirky, and surreal storytelling
51554;The Mummy;Fantasy
51554;The Mummy;Action
51554;The Mummy;Adventure
51554;The Mummy;Horror, the undead and monster classics
51554;The Mummy;Epic heroes
51554;The Mummy;Crude humor and satire
51554;The Mummy;Epic history and literature
51554;The Mummy;Relationship comedy
51554;The Mummy;Superheroes in action-packed battles with villains
51554;The Mummy;Fantasy adventure, heroism, and swordplay
51554;The Mummy;Creepy, chilling, and terrifying horror
51554;The Mummy;Action comedy and silly heroics
51554;The Mummy;Spooky, scary comedy
574385;The Unbearable Weight of Massive Talent;Action
574385;The Unbearable Weight of Massive Talent;Crime
574385;The Unbearable Weight of Massive Talent;Comedy
574385;The Unbearable Weight of Massive Talent;Crude humor and satire
574385;The Unbearable Weight of Massive Talent;High speed and special ops
574385;The Unbearable Weight of Massive Talent;Relationship comedy
574385;The Unbearable Weight of Massive Talent;Gags, jokes, and slapstick humor
574385;The Unbearable Weight of Massive Talent;Action comedy and silly heroics
574385;The Unbearable Weight of Massive Talent;Laugh-out-loud relationship entanglements
574385;The Unbearable Weight of Massive Talent;Funny jokes and crude humor
574385;The Unbearable Weight of Massive Talent;Amusing jokes and witty satire
2685;Unforgiven;Western
2685;Unforgiven;Westerns
2685;Unforgiven;Wild west outlaws and gunfights
2685;Unforgiven;Western frontier dramas with a touch of humor
2685;Unforgiven;Violent action, guns, and crime
2685;Unforgiven;Violent crime and drugs
2685;Unforgiven;Brutal, violent prison drama
51986;Twelve Monkeys;Thriller
51986;Twelve Monkeys;Mystery
51986;Twelve Monkeys;Science Fiction
51986;Twelve Monkeys;Monsters, aliens, sci-fi and the apocalypse
51986;Twelve Monkeys;Intense violence and sexual transgression
51986;Twelve Monkeys;Dreamlike, quirky, and surreal storytelling
51986;Twelve Monkeys;Thought-provoking sci-fi action and future technology
51986;Twelve Monkeys;Surreal and thought-provoking visions of life and death
51986;Twelve Monkeys;Imaginative space odysseys and alien encounters
51986;Twelve Monkeys;Twisted dark psychological thriller
479814;Free Guy;Adventure
479814;Free Guy;Science Fiction
479814;Free Guy;Comedy
479814;Free Guy;Crude humor and satire
479814;Free Guy;Relationship comedy
479814;Free Guy;Laugh-out-loud relationship entanglements
479814;Free Guy;Gags, jokes, and slapstick humor
479814;Free Guy;Action comedy and silly heroics
479814;Free Guy;Teen school antics and laughter
479814;Free Guy;Amusing jokes and witty satire
47233;Tremors;Horror
47233;Tremors;Action
47233;Tremors;Comedy
47233;Tremors;Science Fiction
47233;Tremors;Horror, the undead and monster classics
47233;Tremors;Crude humor and satire
47233;Tremors;Sci-fi horror, creatures, and aliens
47233;Tremors;Sci-fi monster and dinosaur adventures
47233;Tremors;Survival horror and zombie carnage
47233;Tremors;Gory, gruesome, and slasher horror
47233;Tremors;Action comedy and silly heroics
465978;Cats;Comedy
465978;Cats;Drama
465978;Cats;Fantasy
465978;Cats;Song and dance
465978;Cats;Dazzling vocal performances and musicals
465978;Cats;Catchy songs and hilarious musical comedy
465978;Cats;Dance rhythms and catchy tunes
46087;Child's Play;Horror
46087;Child's Play;Horror, the undead and monster classics
46087;Child's Play;Intense violence and sexual transgression
46087;Child's Play;Thrillers and murder mysteries
46087;Child's Play;Terrifying, haunted, and supernatural horror
46087;Child's Play;Gory, gruesome, and slasher horror
46087;Child's Play;Creepy, chilling, and terrifying horror
46087;Child's Play;Gothic and eerie haunting horror
46087;Child's Play;Twisted dark psychological thriller
47345;The Craft;Horror
47345;The Craft;Fantasy
47345;The Craft;Drama
47345;The Craft;Underdogs and coming of age
47345;The Craft;Horror, the undead and monster classics
47345;The Craft;Terrifying, haunted, and supernatural horror
47345;The Craft;Twisted dark psychological thriller
47345;The Craft;Creepy, chilling, and terrifying horror
51387;Evil Dead II;Horror
51387;Evil Dead II;Comedy
51387;Evil Dead II;Fantasy
51387;Evil Dead II;Horror, the undead and monster classics
51387;Evil Dead II;Crude humor and satire
51387;Evil Dead II;Survival horror and zombie carnage
51387;Evil Dead II;Spooky, scary comedy
