key;value;link;film_id;film_title
language;English;/films/language/english/;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
country;USA;/films/country/usa/;34848;Meshes of the Afternoon
language;No spoken language;/films/language/no-spoken-language/;34848;Meshes of the Afternoon
studio;Metro-Goldwyn-Mayer;/studio/metro-goldwyn-mayer-1/;51494;The Wizard of Oz
country;USA;/films/country/usa/;51494;The Wizard of Oz
language;English;/films/language/english/;51494;The Wizard of Oz
studio;Dawn Associates;/studio/dawn-associates/;51230;Dawn of the Dead
studio;Laurel Entertainment;/studio/laurel-entertainment/;51230;Dawn of the Dead
country;Italy;/films/country/italy/;51230;Dawn of the Dead
country;USA;/films/country/usa/;51230;Dawn of the Dead
language;English;/films/language/english/;51230;Dawn of the Dead
studio;First Run Features;/studio/first-run-features/;97190;The Company of Strangers
studio;ONF | NFB;/studio/onf-nfb/;97190;The Company of Strangers
country;Canada;/films/country/canada/;97190;The Company of Strangers
language;English;/films/language/english/;97190;The Company of Strangers
studio;Madhouse;/studio/madhouse-1/;43921;Tokyo Godfathers
studio;Sony Pictures;/studio/sony-pictures-1/;43921;Tokyo Godfathers
studio;dentsu;/studio/dentsu-2/;43921;Tokyo Godfathers
studio;GENCO;/studio/genco/;43921;Tokyo Godfathers
country;Japan;/films/country/japan/;43921;Tokyo Godfathers
language;Japanese;/films/language/japanese/;43921;Tokyo Godfathers
language;English;/films/language/english/;43921;Tokyo Godfathers
language;Japanese;/films/language/japanese/;43921;Tokyo Godfathers
language;Spanish;/films/language/spanish/;43921;Tokyo Godfathers
studio;Silver Pictures;/studio/silver-pictures/;48894;Kiss Kiss Bang Bang
studio;Warner Bros. Pictures;/studio/warner-bros-pictures/;48894;Kiss Kiss Bang Bang
country;USA;/films/country/usa/;48894;Kiss Kiss Bang Bang
language;English;/films/language/english/;48894;Kiss Kiss Bang Bang
studio;Working Title Films (GB);/studio/working-title-films-gb/;838140;The Substance
studio;Blacksmith;/studio/blacksmith/;838140;The Substance
studio;Working Title Films (US);/studio/working-title-films-1/;838140;The Substance
country;France;/films/country/france/;838140;The Substance
country;UK;/films/country/uk/;838140;The Substance
country;USA;/films/country/usa/;838140;The Substance
language;English;/films/language/english/;838140;The Substance
studio;Shaft Productions;/studio/shaft-productions/;51624;Shaft
studio;Metro-Goldwyn-Mayer;/studio/metro-goldwyn-mayer-1/;51624;Shaft
country;USA;/films/country/usa/;51624;Shaft
language;English;/films/language/english/;51624;Shaft
